word	frequency
iraqi	0.0454545454545
saddam	0.0378787878788
iraq	0.030303030303
allawi	0.030303030303
said	0.0227272727273
justice	0.0151515151515
legal	0.0151515151515
business	0.0151515151515
put	0.0151515151515
toward	0.0151515151515
hussein	0.0151515151515
custody	0.0151515151515
wants	0.0151515151515
government	0.0151515151515
minister	0.0151515151515
charges	0.0151515151515
face	0.0151515151515
show	0.00757575757576
move	0.00757575757576
including	0.00757575757576
agrees	0.00757575757576
death	0.00757575757576
lawyers'	0.00757575757576
former	0.00757575757576
penalty	0.00757575757576
prison	0.00757575757576
sovereignty	0.00757575757576
reinstate	0.00757575757576
get	0.00757575757576
baghdad	0.00757575757576
world	0.00757575757576
day	0.00757575757576
association	0.00757575757576
prime	0.00757575757576
stabilize	0.00757575757576
wednesday	0.00757575757576
bad	0.00757575757576
discussing	0.00757575757576
declared	0.00757575757576
people	0.00757575757576
national	0.00757575757576
crimes	0.00757575757576
dohan	0.00757575757576
result	0.00757575757576
lawyer	0.00757575757576
run	0.00757575757576
reconciliation	0.00757575757576
proceeding	0.00757575757576
detainees'	0.00757575757576
promised	0.00757575757576
new	0.00757575757576
patient	0.00757575757576
missing	0.00757575757576
million	0.00757575757576
news	0.00757575757576
months	0.00757575757576
urged	0.00757575757576
foreign	0.00757575757576
s	0.00757575757576
genocide	0.00757575757576
faces	0.00757575757576
suitable	0.00757575757576
road	0.00757575757576
first	0.00757575757576
open	0.00757575757576
conference	0.00757575757576
transfer	0.00757575757576
eleven	0.00757575757576
expected	0.00757575757576
means	0.00757575757576
war	0.00757575757576
pm	0.00757575757576
occurred	0.00757575757576
cabinet	0.00757575757576
spirit	0.00757575757576
transferred	0.00757575757576
value	0.00757575757576
remain	0.00757575757576
future	0.00757575757576
malik	0.00757575757576
following	0.00757575757576
more	0.00757575757576
history	0.00757575757576
al	0.00757575757576
high	0.00757575757576
ap	0.00757575757576
iyad	0.00757575757576
want	0.00757575757576
iraq's	0.00757575757576
occur	0.00757575757576
regime	0.00757575757576
lacks	0.00757575757576
court	0.00757575757576
democracy	0.00757575757576
trials	0.00757575757576
peace	0.00757575757576
unity	0.00757575757576
jail	0.00757575757576
events	0.00757575757576
iraqis	0.00757575757576
acknowledged	0.00757575757576
u	0.00757575757576
hassan	0.00757575757576
