bigram	frequency	relative frequency	mutual information
lung cancer	11.0	0.0015727766657134686	0.014653568013199145
pt 141	7.0	0.0010008578781812983	0.009977633925531497
white house	7.0	0.0010008578781812983	0.009977633925531497
chief justice	7.0	0.0010008578781812983	0.009977633925531497
supreme court	6.0	0.0008578781812982557	0.008743043256406197
manage alerts	6.0	0.0008578781812982557	0.008743043256406197
medical school	5.0	0.0007148984844152131	0.0043260228572433385
medpage today	5.0	0.0007148984844152131	0.0074739122784181315
heart disease	5.0	0.0007148984844152131	0.006779850472341148
cancer risk	4.0	0.0005719187875321705	0.003350056249736375
full time	4.0	0.0005719187875321705	0.005795013097033984
property owners	4.0	0.0005719187875321705	0.0050194089733706865
female rats	4.0	0.0005719187875321705	0.005494144460106567
john roberts	4.0	0.0005719187875321705	0.005239763652172397
private property	4.0	0.0005719187875321705	0.005795013097033984
bird flu	4.0	0.0005719187875321705	0.005494144460106567
gestational diabetes	4.0	0.0005719187875321705	0.005795013097033984
public health	4.0	0.0005719187875321705	0.005239763652172397
arnold schwarzenegger	3.0	0.00042893909064912783	0.004800460718852226
environmental law	3.0	0.00042893909064912783	0.0044444091038003146
pomegranate juice	3.0	0.00042893909064912783	0.004800460718852226
dr bushnell	3.0	0.00042893909064912783	0.0030847043562557143
property rights	3.0	0.00042893909064912783	0.003586530922502059
stroke risk	3.0	0.00042893909064912783	0.0027286527412038034
nitrous oxide	3.0	0.00042893909064912783	0.004800460718852226
endangered species	3.0	0.00042893909064912783	0.0044444091038003146
north carolina	3.0	0.00042893909064912783	0.004800460718852226
staff writer	3.0	0.00042893909064912783	0.0044444091038003146
pregnancy complications	3.0	0.00042893909064912783	0.00394258253755397
harvard medical	3.0	0.00042893909064912783	0.003586530922502059
recovery plans	3.0	0.00042893909064912783	0.004800460718852226
species act	3.0	0.00042893909064912783	0.0029856389709941164
cataract surgery	3.0	0.00042893909064912783	0.004800460718852226
part time	3.0	0.00042893909064912783	0.0037517969316033426
national academy	3.0	0.00042893909064912783	0.00394258253755397
sexual desire	3.0	0.00042893909064912783	0.003586530922502059
president bush	3.0	0.00042893909064912783	0.003586530922502059
interior secretary	3.0	0.00042893909064912783	0.004800460718852226
united states	3.0	0.00042893909064912783	0.0044444091038003146
today staff	3.0	0.00042893909064912783	0.004168234015249532
justice john	3.0	0.00042893909064912783	0.0029856389709941164
sex marriage	3.0	0.00042893909064912783	0.00394258253755397
prostate cancer	3.0	0.00042893909064912783	0.004800460718852226
washington ap	3.0	0.00042893909064912783	0.004168234015249532
body mass	2.0	0.00028595939376608524	0.0030330316238193693
high risk	2.0	0.00028595939376608524	0.0020396283672187362
9 codes	2.0	0.00028595939376608524	0.0027956638804514282
orange juice	2.0	0.00028595939376608524	0.0033675826679835995
medical records	2.0	0.00028595939376608524	0.0013523913862809893
legal custody	2.0	0.00028595939376608524	0.0030330316238193693
risk factors	2.0	0.00028595939376608524	0.0009601172029398758
san francisco	2.0	0.00028595939376608524	0.0030330316238193693
influenza program	2.0	0.00028595939376608524	0.0030330316238193693
hiv drug	2.0	0.00028595939376608524	0.0030330316238193693
breast cancer	2.0	0.00028595939376608524	0.0033675826679835995
high court	2.0	0.00028595939376608524	0.0020396283672187362
h5n1 viruses	2.0	0.00028595939376608524	0.002611547154750907
gradually acquired	2.0	0.00028595939376608524	0.0033675826679835995
icd 9	2.0	0.00028595939376608524	0.0033675826679835995
28 2005	2.0	0.00028595939376608524	0.0030330316238193693
duke university	2.0	0.00028595939376608524	0.0027956638804514282
cerebrovascular disease	2.0	0.00028595939376608524	0.0033675826679835995
neurological association	2.0	0.00028595939376608524	0.0033675826679835995
medical consultant	2.0	0.00028595939376608524	0.0013523913862809893
treating patients	2.0	0.00028595939376608524	0.0027956638804514282
constitutional issue	2.0	0.00028595939376608524	0.0030330316238193693
viruses gradually	2.0	0.00028595939376608524	0.0021265617921229687
school foster	2.0	0.00028595939376608524	0.0019609875186342722
expand private	2.0	0.00028595939376608524	0.0033675826679835995
city medicine	2.0	0.00028595939376608524	0.0030330316238193693
american neurological	2.0	0.00028595939376608524	0.002223745092919258
